date,La Voz del Interior,Perfil,Página/12,TN,Ámbito,isPartial
2004-01-01,13,4,0,11,0,False
2004-02-01,17,4,0,11,0,False
2004-03-01,17,5,0,10,0,False
2004-04-01,13,6,1,12,1,False
2004-05-01,12,6,0,16,0,False
2004-06-01,11,7,1,14,0,False
2004-07-01,18,4,1,10,0,False
2004-08-01,10,6,0,18,1,False
2004-09-01,15,6,0,10,0,False
2004-10-01,13,5,0,11,0,False
2004-11-01,16,5,0,12,0,False
2004-12-01,15,5,0,15,0,False
2005-01-01,16,4,0,16,0,False
2005-02-01,18,5,0,19,0,False
2005-03-01,16,6,0,12,0,False
2005-04-01,21,6,0,23,0,False
2005-05-01,17,6,0,12,0,False
2005-06-01,21,6,0,13,0,False
2005-07-01,19,4,0,12,1,False
2005-08-01,23,4,0,13,0,False
2005-09-01,21,8,0,14,0,False
2005-10-01,25,8,0,12,0,False
2005-11-01,21,9,0,24,0,False
2005-12-01,21,7,0,14,0,False
2006-01-01,20,9,0,17,1,False
2006-02-01,22,8,0,17,0,False
2006-03-01,22,8,0,22,0,False
2006-04-01,19,8,0,19,0,False
2006-05-01,20,9,0,21,0,False
2006-06-01,19,10,0,43,0,False
2006-07-01,20,9,0,15,0,False
2006-08-01,18,8,0,13,0,False
2006-09-01,24,12,0,18,0,False
2006-10-01,21,12,0,23,0,False
2006-11-01,21,13,0,17,0,False
2006-12-01,22,14,0,24,0,False
2007-01-01,26,14,0,21,0,False
2007-02-01,26,13,0,21,0,False
2007-03-01,23,14,0,26,0,False
2007-04-01,24,14,0,34,0,False
2007-05-01,21,16,0,38,0,False
2007-06-01,24,16,0,37,0,False
2007-07-01,23,20,0,36,0,False
2007-08-01,22,19,0,29,0,False
2007-09-01,29,18,0,32,0,False
2007-10-01,21,18,0,38,0,False
2007-11-01,21,18,0,31,0,False
2007-12-01,21,18,0,40,0,False
2008-01-01,23,19,0,41,0,False
2008-02-01,25,18,0,41,0,False
2008-03-01,27,26,0,92,0,False
2008-04-01,23,30,0,65,0,False
2008-05-01,24,33,0,63,0,False
2008-06-01,29,42,0,100,0,False
2008-07-01,27,45,0,74,0,False
2008-08-01,25,40,0,53,0,False
2008-09-01,26,35,0,46,0,False
2008-10-01,26,38,0,54,1,False
2008-11-01,26,37,0,48,0,False
2008-12-01,23,37,0,46,0,False
2009-01-01,26,38,0,56,0,False
2009-02-01,26,39,0,47,0,False
2009-03-01,27,43,0,49,0,False
2009-04-01,31,39,0,51,0,False
2009-05-01,30,37,0,40,0,False
2009-06-01,32,40,0,64,0,False
2009-07-01,31,38,0,51,0,False
2009-08-01,29,36,0,38,0,False
2009-09-01,29,37,0,40,0,False
2009-10-01,30,36,0,41,0,False
2009-11-01,33,34,0,41,0,False
2009-12-01,30,34,0,44,0,False
2010-01-01,35,39,0,58,0,False
2010-02-01,39,39,0,61,0,False
2010-03-01,36,38,0,46,0,False
2010-04-01,32,36,0,40,0,False
2010-05-01,30,40,0,39,0,False
2010-06-01,28,42,0,55,0,False
2010-07-01,27,42,0,41,0,False
2010-08-01,26,41,0,36,0,False
2010-09-01,26,44,0,38,0,False
2010-10-01,28,49,0,73,0,False
2010-11-01,28,46,0,34,0,False
2010-12-01,28,47,0,37,0,False
2011-01-01,29,44,0,38,0,False
2011-02-01,28,44,0,28,0,False
2011-03-01,29,43,0,43,0,False
2011-04-01,28,43,0,31,0,False
2011-05-01,29,47,0,29,0,False
2011-06-01,29,55,0,36,0,False
2011-07-01,28,57,0,30,0,False
2011-08-01,30,55,0,34,0,False
2011-09-01,28,53,0,39,0,False
2011-10-01,28,49,0,29,0,False
2011-11-01,32,49,0,31,0,False
2011-12-01,33,53,0,30,0,False
2012-01-01,37,54,0,35,0,False
2012-02-01,39,53,0,43,0,False
2012-03-01,38,53,0,35,0,False
2012-04-01,37,52,0,39,0,False
2012-05-01,35,48,0,30,0,False
2012-06-01,34,53,0,46,0,False
2012-07-01,27,50,0,32,0,False
2012-08-01,22,49,0,33,0,False
2012-09-01,29,52,0,36,0,False
2012-10-01,29,55,0,45,0,False
2012-11-01,28,54,0,46,0,False
2012-12-01,27,57,0,56,0,False
2013-01-01,28,56,0,39,0,False
2013-02-01,21,53,0,37,0,False
2013-03-01,21,56,0,52,0,False
2013-04-01,23,57,0,56,0,False
2013-05-01,20,56,0,44,0,False
2013-06-01,19,55,0,48,0,False
2013-07-01,18,51,0,45,0,False
2013-08-01,19,51,0,47,0,False
2013-09-01,21,48,0,37,0,False
2013-10-01,22,49,0,43,0,False
2013-11-01,25,50,0,38,0,False
2013-12-01,37,49,0,60,0,False
2014-01-01,31,50,0,52,1,False
2014-02-01,24,50,0,49,0,False
2014-03-01,26,45,0,47,0,False
2014-04-01,27,44,0,44,0,False
2014-05-01,24,44,0,41,0,False
2014-06-01,21,44,0,49,0,False
2014-07-01,23,47,0,55,1,False
2014-08-01,22,47,0,44,0,False
2014-09-01,21,46,0,43,1,False
2014-10-01,21,46,0,44,1,False
2014-11-01,21,45,0,42,0,False
2014-12-01,19,47,0,41,0,False
2015-01-01,21,51,0,56,0,False
2015-02-01,23,50,0,50,0,False
2015-03-01,21,48,0,46,0,False
2015-04-01,17,42,0,45,1,False
2015-05-01,21,43,0,43,0,False
2015-06-01,22,43,0,44,0,False
2015-07-01,21,42,0,40,0,False
2015-08-01,17,43,0,49,1,False
2015-09-01,16,41,0,43,1,False
2015-10-01,16,44,0,50,1,False
2015-11-01,17,54,0,62,1,False
2015-12-01,18,59,0,79,1,False
2016-01-01,18,48,0,63,1,False
2016-02-01,17,43,0,41,1,False
2016-03-01,14,43,0,45,1,False
2016-04-01,14,45,0,56,0,False
2016-05-01,13,41,0,44,1,False
2016-06-01,13,42,0,48,1,False
2016-07-01,12,40,0,46,1,False
2016-08-01,12,35,0,42,1,False
2016-09-01,12,32,0,43,0,False
2016-10-01,13,32,0,40,0,False
2016-11-01,16,31,0,45,0,False
2016-12-01,16,34,0,42,0,False
2017-01-01,16,33,0,46,0,False
2017-02-01,15,33,0,45,0,False
2017-03-01,14,33,0,51,0,False
2017-04-01,14,32,0,53,0,False
2017-05-01,13,32,0,42,0,False
2017-06-01,18,33,0,42,0,False
2017-07-01,13,34,0,41,1,False
2017-08-01,14,37,0,49,1,False
2017-09-01,14,37,0,55,0,False
2017-10-01,14,39,0,65,0,False
2017-11-01,15,41,0,65,1,False
2017-12-01,15,38,0,79,1,False
2018-01-01,15,36,0,46,1,False
2018-02-01,15,36,0,51,1,False
2018-03-01,12,34,0,41,1,False
2018-04-01,10,34,0,45,1,False
2018-05-01,11,35,0,45,1,False
2018-06-01,10,34,0,50,1,False
2018-07-01,9,32,0,38,1,False
2018-08-01,10,36,0,50,1,False
2018-09-01,12,36,0,48,1,False
2018-10-01,10,33,0,37,1,False
2018-11-01,10,33,0,49,1,False
2018-12-01,10,33,0,40,1,False
2019-01-01,11,32,0,44,1,False
2019-02-01,10,33,0,41,1,False
2019-03-01,9,33,0,40,1,False
2019-04-01,8,33,0,39,1,False
2019-05-01,9,34,0,40,1,False
2019-06-01,7,33,0,42,1,False
2019-07-01,7,32,0,38,1,False
2019-08-01,7,36,0,50,1,False
2019-09-01,7,33,0,38,1,False
2019-10-01,7,32,0,44,1,False
2019-11-01,6,32,0,34,1,False
2019-12-01,7,34,0,41,1,False
2020-01-01,7,34,0,38,1,False
2020-02-01,7,31,0,39,1,False
2020-03-01,9,33,0,78,1,False
2020-04-01,8,31,0,47,2,False
2020-05-01,8,31,0,37,2,False
2020-06-01,7,30,0,37,1,False
2020-07-01,8,31,0,34,1,False
2020-08-01,7,31,0,32,2,False
2020-09-01,7,31,0,33,2,False
2020-10-01,7,30,0,31,2,True
